"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"10421948",2.375,-0.45943113602795,0.670362622395114,-0.685347184761682,0.493124863459744,0.999999712223997
"10576909",2.375,-0.45943113602795,0.670362622395114,-0.685347184761682,0.493124863459744,0.999999712223997
"10440158",2.375,-0.459431136027949,0.670362622395114,-0.685347184761682,0.493124863459745,0.999999712223997
"10440160",2.375,-0.459431136027949,0.670362622395114,-0.685347184761682,0.493124863459745,0.999999712223997
"10466298",2.375,-0.459431136027949,0.670362622395114,-0.685347184761682,0.493124863459745,0.999999712223997
"10341131",4.25,0.341037097750493,0.498300652451409,0.684400263320444,0.493722449786279,0.999999712223997
"10342106",4.25,0.341037097750493,0.498300652451409,0.684400263320444,0.493722449786279,0.999999712223997
"10341983",4.25,-0.341036587850191,0.498300660154135,-0.684399229462591,0.493723102448494,0.999999712223997
"10340909",4.25,-0.341036587226007,0.498300660201692,-0.684399228144648,0.493723103280496,0.999999712223997
"10339951",4.25,-0.341036586903547,0.498300660234228,-0.684399227452841,0.493723103717225,0.999999712223997
"10340414",4.25,-0.341036586903547,0.498300660234228,-0.684399227452842,0.493723103717225,0.999999712223997
"10340477",4.25,-0.341036586903547,0.498300660234228,-0.684399227452841,0.493723103717225,0.999999712223997
"10343250",4.25,-0.341036586903547,0.498300660234228,-0.684399227452841,0.493723103717225,0.999999712223997
"10394538",9.75,0.222392580868143,0.327676970734303,0.678694570356213,0.497331407188359,0.999999712223997
"10339672",4.5,0.321928279677683,0.483894512646223,0.665286072200297,0.505867537156126,0.999999712223997
"10343030",4.5,0.321928279677683,0.483894512646223,0.665286072200297,0.505867537156126,0.999999712223997
"10351880",4.5,0.321928279677682,0.483894512646223,0.665286072200296,0.505867537156127,0.999999712223997
"10338321",4.5,0.321928279677681,0.483894512646223,0.665286072200293,0.505867537156128,0.999999712223997
"10341134",4.5,0.321928279677681,0.483894512646223,0.665286072200293,0.505867537156128,0.999999712223997
"10427679",4.5,0.321928279677681,0.483894512646223,0.665286072200293,0.505867537156128,0.999999712223997
"10530854",4.5,0.321928279677681,0.483894512646223,0.665286072200293,0.505867537156128,0.999999712223997
"10338690",4.5,-0.321927778284243,0.483894518744748,-0.665285027653015,0.505868205127329,0.999999712223997
"10340773",4.5,-0.321927778284242,0.483894518744749,-0.665285027653014,0.50586820512733,0.999999712223997
"10507775",4.5,-0.321927778284242,0.483894518744749,-0.665285027653014,0.50586820512733,0.999999712223997
"10342865",4.5,-0.321927777867215,0.483894519006493,-0.665285026431339,0.505868205908572,0.999999712223997
"10344405",4.5,-0.321927777867215,0.483894519006493,-0.665285026431339,0.505868205908572,0.999999712223997
"10344132",4.5,-0.321927777867215,0.483894519006493,-0.665285026431338,0.505868205908572,0.999999712223997
"10557175",4.5,-0.321927777867214,0.483894519006493,-0.665285026431337,0.505868205908573,0.999999712223997
"10388263",4.5,-0.321927777867213,0.483894519006493,-0.665285026431335,0.505868205908574,0.999999712223997
"10398362",4.5,-0.321927777867213,0.483894519006493,-0.665285026431335,0.505868205908574,0.999999712223997
"10563973",4.5,-0.321927777867213,0.483894519006493,-0.665285026431335,0.505868205908574,0.999999712223997
"10339334",4.5,-0.321927777867212,0.483894519006493,-0.665285026431334,0.505868205908575,0.999999712223997
"10351509",4.5,-0.321927777867212,0.483894519006493,-0.665285026431334,0.505868205908575,0.999999712223997
"10385822",4.5,-0.321927777867212,0.483894519006493,-0.665285026431334,0.505868205908575,0.999999712223997
"10466272",4.5,-0.321927777867212,0.483894519006493,-0.665285026431334,0.505868205908575,0.999999712223997
"10503866",4.5,-0.321927777867212,0.483894519006493,-0.665285026431334,0.505868205908575,0.999999712223997
"10504068",4.5,-0.321927777867212,0.483894519006493,-0.665285026431334,0.505868205908575,0.999999712223997
"10553430",4.5,-0.321927777867212,0.483894519006493,-0.665285026431334,0.505868205908575,0.999999712223997
"10555009",4.5,-0.321927777867212,0.483894519006493,-0.665285026431334,0.505868205908575,0.999999712223997
"10578786",4.5,-0.321927777867212,0.483894519006493,-0.665285026431334,0.505868205908575,0.999999712223997
"10599116",4.5,-0.321927777867212,0.483894519006493,-0.665285026431334,0.505868205908575,0.999999712223997
"10563989",4.5,-0.321927776491814,0.483894518878348,-0.665285023765164,0.505868207613549,0.999999712223997
